Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
The Fast and the Furious,6/22/2001,55%,74%,3.5/5,https://www.youtube.com/watch?v=2TAOizOnNPo
2 Fast 2 Furious,6/6/2003,37%,50%,2/5,https://www.youtube.com/watch?v=sWofeRh_53g
The Fast and the Furious: Tokyo Drift,6/16/2006,38%,69%,2.5/5,https://www.youtube.com/watch?v=p8HQ2JLlc4E
Fast & Furious,4/3/2009,29%,67%,2.5/5,https://www.youtube.com/watch?v=7GNg6rAg4hg
Fast Five,4/29/2011,78%,83%,4/5,https://www.youtube.com/watch?v=vcn2GOuZCKI
Fast & Furious 6,5/24/2013,71%,84%,4/5,https://www.youtube.com/watch?v=oc_P11PNvRs
Furious 7,4/3/2015,82%,82%,4.5/5,https://www.youtube.com/watch?v=Skpu5HaVkOc
The Fate of the Furious,4/14/2017,67%,72%,3.5/5,https://www.youtube.com/watch?v=uisBaTkQAEs
Hobbs & Shaw,8/2/2019,67%,88%,4/5,https://www.youtube.com/watch?v=9SA7FaKxZVI
F9,6/25/2021,59%,82%,3.5/5,https://www.youtube.com/watch?v=FUK2kdPsBws
Fast X,5/19/2023,56%,84%,3/5,https://www.youtube.com/watch?v=32RAq6JzY-w
