Characters,X-Men,X2,X-Men: The Last Stand,X-Men Origins: Wolverine,The Wolverine,X-Men: First Class,X-Men: Days of Future Past,X-Men: Apocalypse,Dark Phoenix,Deadpool,Logan,Deadpool 2,Spider-Man,Spider-Man 2,Spider-Man 3,The Amazing Spider-Man,The Amazing Spider-Man 2,Fantastic Four (2005),Fantastic Four: Rise of the Silver Surfer,Fantastic Four (2015),Venom,Venom: Let There Be Carnage,Venom: The Last Dance,Morbius,Madame Web,Kraven the Hunter,Daredevil Season 1,Daredevil Season 2,The Defenders,Daredevil Season 3,Spider-Man: Into The Spider-Verse,Spider-Man: Across the Spider-Verse,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,Marvel's the Avengers,Agents of SHIELD,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians Of The Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians Of The Galaxy: Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and The Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far From Home,WandaVision,The Falcon and The Winter Soldier,Loki Season 1,Black Widow,What If...? Season 1,Shang-Chi and The Legend of The Ten Rings,Eternals,Hawkeye,Spider-Man: No Way Home,Moon Knight,Doctor Strange 2,Ms. Marvel,Thor Love and Thunder,I Am Groot,She-Hulk,Werewolf by Night,Black Panther Wakanda Forever,The Guardians of the Galaxy Holiday Special,Ant-Man and The Wasp: Quantumania,Guardians Of The Galaxy: Vol. 3,Secret Invasion,Loki Season 2,The Marvels,What If...? Season 2,Echo,Deadpool and Wolverine,Agatha All Along,What If...? Season 3,Your Friendly Neighborhood Spiderman,Captain America Brave New World,Daredevil Born Again,Thunderbolts*,Iron Heart,The Fantastic Four: First Steps,X-Men 97,The Punisher Season 1,The Punisher Season 2,Ghost Rider,Ghost Rider: Spirit of Vengeance,Agent Carter,Daredevil,Elektra,Jessica Jones Season 1,Jessica Jones Season 2,Jessica Jones Season 3,Hit Monkey Season 1,Hit Monkey Season 2,Luke Cage Season 1,Luke Cage Season 2,Iron Fist Season 1,Iron Fist Season 2,Eyes of Wakanda,Avengers Doomsday,Spider-Man Brand New Day,Wonder Man,Avengers Secret Wars,Marvel Zombies,Vision Quest,Your Friendly Neighborhood Spiderman Season 2,Daredevil Born Again Season 2,X-Men 97 Season 2
Iron Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkeye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Widow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Fury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet Witch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quicksilver (Pietro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant-Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
