Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Toy Story,11/22/1995,100%,92%,5/5,https://www.youtube.com/watch?v=v-PjgYDrg70
A Bug's Life,11/25/1998,92%,73%,N/A,
Toy Story 2,11/24/1999,100%,87%,5/5,
Monsters Inc.,11/2/2001,96%,90%,4.5/5,
Finding Nemo,5/30/2003,99%,86%,4.5/5,
The Incredibles,11/9/2004,97%,75%,4.5/5,
Cars,6/9/2006,74%,80%,4.5/5,
Ratatouille,6/29/2007,96%,87%,4.5/5,
WALL-E,6/27/2008,95%,90%,5/5,
Up,5/29/2009,98%,90%,4.5/5,
Toy Story 3,6/18/2010,98%,90%,5/5,
Cars 2,6/24/2011,40%,50%,5/5,
Brave,6/22/2012,78%,75%,3.5/5,
Monsters University,6/21/2013,80%,81%,3.5/5,
Inside Out,6/19/2015,98%,89%,4.5/5,
The Good Dinosaur,11/25/2015,76%,64%,N/A,
Finding Dory,6/17/2016,94%,84%,N/A,
Cars 3,6/16/2017,70%,69%,3.5/5,
Coco,11/22/2017,97%,94%,5/5,
Incredibles 2,6/15/2018,93%,84%,N/A,
Toy Story 4,6/21/2019,96%,94%,5/5,
Onward,6/6/2020,88%,95%,4/5,
Soul,12/25/2020,95%,88%,N/A,
Luca,6/18/2021,91%,84%,N/A,
Turning Red,3/11/2022,95%,67%,N/A,
Lightyear,6/17/2022,74%,84%,N/A,
Elemental,6/16/2023,73%,93%,N/A,
Inside Out 2,6/14/2024,91%,95%,N/A,
Elio,6/20/2025,82%,90%,N/A,
