Name ,Phase,Release Date,Critic Rating,Audience Rating,My Tier,Format,Trailer
The Dark Knight,Nolan-verse,7/18/2008,94%,94%,SS,Movie,https://www.youtube.com/watch?v=EXeTwQWrcwY
Justice League: The Flashpoint Paradox,DC AMU,7/30/2013,100%,93%,SS,Animated Movie,
Joker,DC Elseworlds,10/4/2019,68%,89%,SS,Movie,
Superman (1978),Superman Legacy Movies,12/15/1978,87%,86%,S,Movie,https://www.youtube.com/watch?v=LAOJimuidJM
Superman (2025),DC Universe,7/11/2025,82%,93%,S,Movie,
The Dark Knight Rises,Nolan-verse,7/12/2012,87%,90%,S,Movie,
The Suicide Squad,DC Extended Universe,8/6/2021,90%,82%,S,Movie,
Peacemaker Season 2,DC Universe,8/21/25,95%,78%,S,TV Show,
Batman Begins,Nolan-verse,6/15/05,85%,94%,S,Movie,
The Batman,DC Elseworlds,3/4/2022,85%,87%,AA,Movie,
Peacemaker Season 1,DC Extended Universe,6/13/2022,93%,89%,AA,TV Show,
The Lego Movie,Lego Universe,2/7/14,96%,87%,AA,Animated Movie,
Wonder Woman,DC Extended Universe,6/2/2017,93%,83%,AA,Movie,
Creature Commandos,DC Universe,12/5/2024,95%,81%,AA,Animated Show,
Superman II,Superman Legacy Movies,6/19/80,88%,76%,A,Movie,https://www.youtube.com/watch?v=jxD8RlGnP64
Superman and Lois,Arrowverse,2/23/2021,88%,84%,A,TV Show,
The Lego Batman Movie,Lego Universe,2/10/17,89%,81%,A,Movie,
Batman Forever,Batman Legacy Movies,6/16/95,41%,33%,A,Movie,
Zack Snyder's Justice League,DC Extended Universe,3/18/2021,71%,92%,A,Movie,
Shazam!,DC Extended Universe,4/5/2019,90%,82%,A,Movie,
Teen Titans GO! To the Movies,Teen Titans GO,7/27/18,92%,72%,A,Movie,
Superman Returns,Superman Legacy Movies,6/28/06,72%,60%,AB,Movie,
Arrow,Arrowverse,10/10/12,86%,63%,AB,TV Show,
Batman v Superman: Dawn of Justice,DC Extended Universe,3/25/16,28%,63%,AB,Movie,
Man of Steel,DC Extended Universe,6/14/2013,57%,75%,AB,Movie,
Aquaman,DC Extended Universe,12/21/2018,66%,72%,AB,Movie,
Batman,Batman Legacy Movies,6/23/89,77%,84%,AB,Movie,
Batman Returns,Batman Legacy Movies,6/19/92,82%,73%,AB,Movie,
