Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Harry Potter and the Sorcerer's Stone,11/16/2001,80%,82%,4/5,https://www.youtube.com/watch?v=VyHV0BRtdxo
Harry Potter and the Chamber of Secrets,11/14/2002,82%,80%,4/5,https://www.youtube.com/watch?v=jBltxS8HfQ4
Harry Potter and the Prisoner of Azkaban,5/31/2004,91%,86%,5/5,https://www.youtube.com/watch?v=VwErvYgoH70
Harry Potter and the Goblet of Fire,11/18/2005,88%,74%,4.5/5,https://www.youtube.com/watch?v=3EGojp4Hh6I
Harry Potter and the Order of the Phoenix,7/11/2007,78%,81%,3.5/5,https://www.youtube.com/watch?v=LLAaW1EgyY8
Harry Potter and the Half-Blood Prince,7/15/2009,83%,78%,3.5/5,https://www.youtube.com/watch?v=tAiy66Xrsz4
Harry Potter and the Deathly Hallows Part 1,11/19/2010,76%,85%,3/5,https://www.youtube.com/watch?v=MxqsmsA8y5k
Harry Potter and the Deathly Hallows Part 2,7/15/2011,96%,89%,5/5,https://www.youtube.com/watch?v=mObK5XD8udk
Fantastic Beasts and Where to Find Them,11/18/2016,74%,79%,N/A,https://www.youtube.com/watch?v=zoDbqo_trzE
Fantastic Beasts: The Crimes of Grindelwald,11/16/18,36%,53%,N/A,https://www.youtube.com/watch?v=vvFybpmyB9E
Fantastic Beasts: The Secrets of Dumbledore,5/15/2022,46%,83%,N/A,https://www.youtube.com/watch?v=Y9dr2zw-TXQ
