Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
The Karate Kid (1984),6/22/1984,81%,83%,4.5/5,https://www.youtube.com/watch?v=r_8Rw16uscg
The Karate Kid Part II,6/20/1986,49%,52%,4/5,https://www.youtube.com/watch?v=V-T0ajeo7xQ
The Karate Kid Part III,6/30/1989,18%,35%,3/5,https://www.youtube.com/watch?v=42xkTso8krA
The Next Karate Kid,8/12/1994,20%,24%,N/A,https://www.youtube.com/watch?v=Bqpr_auZ9D8
The Karate Kid (2010),6/11/2010,67%,67%,2.5/5,https://www.youtube.com/watch?v=XY8amUImEu0
Cobra Kai Season 1,5/2/2018,100%,95%,4.5/5,https://www.youtube.com/watch?v=lkaIYfA1WOs
Cobra Kai Season 2,4/24/2019,91%,92%,3.5/5,https://www.youtube.com/watch?v=n6KJRqFa6Rk
Cobra Kai Season 3,1/1/2021,90%,91%,3/5,https://www.youtube.com/watch?v=LcDQqGJG8pA
Cobra Kai Season 4,12/31/2021,95%,91%,4.5/5,https://www.youtube.com/watch?v=PIKGVR73raA
Cobra Kai Season 5,9/9/22,98%,92%,4/5,https://www.youtube.com/watch?v=P4BfK1LKbCY
Cobra Kai Season 6,7/18/24,91%,80%,3.5/5,https://www.youtube.com/watch?v=m0aa_JaA-c8
Karate Kid: Legends,5/30/2025,58%,91%,3/5,https://www.youtube.com/watch?v=uPzOyzsnmio
