Name ,Phase,Release Date,Critic Rating,Audience Rating,My Tier,Format,Trailer
Spider-Man: Across the Spider-Verse,Sony-Verse Ext.,6/2/2023,95%,96%,SS,Movie,https://www.youtube.com/watch?v=cqGjhVJWtEg
Thor: Ragnarok,Phase 3,11/3/17,93%,87%,SS,Movie,https://www.youtube.com/watch?v=ue80QwXMRHg
Loki Season 2,Phase 5,11/10/23,82%,81%,SS,TV Show,https://www.youtube.com/watch?v=dug56u8NN7g
Spider-Man: No Way Home,Phase 4,12/17/21,93%,98%,S,Movie,https://www.youtube.com/watch?v=JfVOs4VSpmA
Avengers: Infinity War,Phase 3,4/27/18,85%,91%,S,Movie,https://www.youtube.com/watch?v=6ZfuNTqbHE8
Avengers: Endgame,Phase 3,4/26/19,94%,90%,S,Movie,https://www.youtube.com/watch?v=TcMBFSGVi1c
Deadpool and Wolverine,Phase 5,7/26/24,79%,94%,S,Movie,https://www.youtube.com/watch?v=73_1biulkYk
Spider-Man: Into The Spider-Verse,Sony-Verse Ext.,12/14/18,97%,93%,S,Movie,https://www.youtube.com/watch?v=g4Hbz2jLxvQ
The Fantastic Four: First Steps,Phase 6,7/25/25,86%,92%,S,Movie,https://www.youtube.com/watch?v=18QQWa5MEcs
Deadpool 2,X-Men Universe,5/18/18,84%,85%,S,Movie,https://www.youtube.com/watch?v=D86RtevtfrA
Thunderbolts*,Phase 5,5/2/25,88%,94%,S,Movie,https://www.youtube.com/watch?v=-sAOWhvheK8
Spider-Man: Far From Home,Phase 3,7/2/19,90%,95%,S,Movie,https://www.youtube.com/watch?v=Nt9L1jCKGnE
Marvel's the Avengers,Phase 1,5/4/12,91%,91%,AA,Movie,https://www.youtube.com/watch?v=eOrNdBpGMv8
Guardians Of The Galaxy: Vol. 2,Phase 3,5/5/17,85%,87%,AA,Movie,https://www.youtube.com/watch?v=wUn05hdkhjM
Captain America: The Winter Soldier,Phase 2,4/4/14,90%,92%,AA,Movie,https://www.youtube.com/watch?v=7SlILk2WMTI
The Punisher Season 1,Defenders Saga,11/17/17,68%,88%,AA,TV Show,https://www.youtube.com/watch?v=s4QV6OZdmWY
Guardians Of The Galaxy: Vol. 3,Phase 5,5/5/23,82%,94%,AA,Movie,https://www.youtube.com/watch?v=u3V5KDHRQvk
Doctor Strange,Phase 3,10/13/16,89%,86%,AA,Movie,https://www.youtube.com/watch?v=h7gvFravm4A
X-Men 97,Phase 5,3/20/24,99%,91%,AA,Animated Show,https://www.youtube.com/watch?v=pv3Ss8o9gGQ
Daredevil Season 3,Defenders Saga,10/19/18,97%,86%,AA,TV Show,https://www.youtube.com/watch?v=n83s6NO1NE0
Daredevil Born Again,Phase 5,3/4/25,87%,80%,AA,TV Show,https://www.youtube.com/watch?v=7xALolZzhSM
Captain America: Civil War,Phase 3,5/6/16,90%,89%,AA,Movie,https://www.youtube.com/watch?v=dKrVegVI0Us
Loki Season 1,Phase 4,6/9/21,92%,91%,AA,TV Show,https://www.youtube.com/watch?v=nW948Va-l10
Deadpool ,X-Men Universe,2/12/16,85%,90%,AA,Movie,https://www.youtube.com/watch?v=Xithigfg7dA
Logan,X-Men Universe,3/3/17,94%,90%,AA,Movie,https://www.youtube.com/watch?v=Div0iP65aZo
Black Panther,Phase 3,2/16/18,96%,79%,AA,Movie,https://www.youtube.com/watch?v=xjDjIWPwcPU
Guardians Of The Galaxy,Phase 2,8/1/14,92%,92%,A,Movie,https://www.youtube.com/watch?v=d96cjJhvlMA
Spider-Man: Homecoming,Phase 3,7/7/17,92%,87%,A,Movie,https://www.youtube.com/watch?v=rk-dF1lIbIg
WandaVision,Phase 4,1/15/21,91%,88%,A,TV Show,https://www.youtube.com/watch?v=sj9J2ecsSpo
Daredevil Season 1,Defenders Saga,4/10/15,99%,93%,A,TV Show,https://www.youtube.com/watch?v=jAy6NJ_D5vU
Your Friendly Neighborhood Spiderman,Phase 5,1/29/25,97%,62%,A,Animated Show,https://www.youtube.com/watch?v=N3J2JRQg040
Hawkeye,Phase 4,11/24/21,92%,91%,A,TV Show,https://www.youtube.com/watch?v=5VYb3B1ETlk
The Guardians of the Galaxy Holiday Special,Phase 4,11/25/22,92%,83%,A,Special,https://www.youtube.com/watch?v=OYhFFQl4fLs
