Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Episode I: The Phantom Menace,5/19/1999,54%,59%,2/5,https://www.youtube.com/watch?v=bD7bpG-zDJQ
Episode II: Attack of the Clones,5/16/2002,61%,56%,3/5,https://www.youtube.com/watch?v=gYbW1F_c9eM
Episode III: Revenge of the Sith,5/19/2005,79%,66%,3.5/5,https://www.youtube.com/watch?v=5UnjrG_N8hU
Episode IV: A New Hope,5/25/1977,94%,96%,4.5/5,https://www.youtube.com/watch?v=vZ734NWnAHA
Episode V: The Empire Strikes Back,5/21/1980,93%,97%,5/5,https://www.youtube.com/watch?v=JNwNXF9Y6kY
Episode VI: Return of the Jedi,5/25/1983,84%,94%,4.5/5,https://www.youtube.com/watch?v=7L8p7_SLzvU
Episode VII: The Force Awakens,12/18/2015,93%,84%,4/5,https://www.youtube.com/watch?v=sGbxmsDFVnE
Episode VIII: The Last Jedi,12/15/2017,91%,41%,2/5,https://www.youtube.com/watch?v=Q0CbN8sfihY
Episode IX: The Rise of Skywalker,12/20/2019,51%,86%,2.5/5,https://www.youtube.com/watch?v=8Qn_spdM5Zg
Rogue One,8/15/18,84%,87%,4/5,https://www.youtube.com/watch?v=frdj1zb9sMY
Solo,12/16/2016,69%,63%,3/5,https://www.youtube.com/watch?v=jPEYpryMp2s
Star Wars: The Clone Wars,5/25/08,18%,41%,N/A,https://www.youtube.com/watch?v=hh3P3DoZZh4
The Clone Wars,10/3/2008,93%,91%,N/A,https://www.youtube.com/watch?v=ZLW2jkd6E7g
The Mandalorian,11/12/2019,90%,78%,4/5,https://www.youtube.com/watch?v=aOC8E8z_ifw
The Book of Boba Fett,12/29/21,66%,49%,3.5/5,https://www.youtube.com/watch?v=rOJ1cw6mohw
Obi-Wan Kenobi,5/27/2022,82%,61%,3.5/5,https://www.youtube.com/watch?v=3Yh_6_zItPU
Andor,9/21/22,96%,89%,N/A,https://www.youtube.com/watch?v=cKOegEuCcfw
Ahsoka,8/22/23,85%,64%,N/A,https://www.youtube.com/watch?v=J_1EXWNETiI
The Acolyte,6/4/24,79%,19%,N/A,https://www.youtube.com/watch?v=6tzur6JrUEA
Skeleton Crew,12/2/24,92%,79%,N/A,https://www.youtube.com/watch?v=f19gfOMZTtg
